filename,label,label_idx,original_filename
G01_M04_sad_016_blur5.jpg,sad,4,G01_M04_sad_016.jpg
G01_M04_neutral_048_blur5.jpg,neutral,6,G01_M04_neutral_048.jpg
G01_M04_neutral_011_blur5.jpg,neutral,6,G01_M04_neutral_011.jpg
G01_M04_surprise_004_blur5.jpg,surprise,5,G01_M04_surprise_004.jpg
G01_M04_neutral_059_blur5.jpg,neutral,6,G01_M04_neutral_059.jpg
G01_M04_neutral_040_blur5.jpg,neutral,6,G01_M04_neutral_040.jpg
G01_M04_neutral_055_blur5.jpg,neutral,6,G01_M04_neutral_055.jpg
G01_M04_neutral_084_blur5.jpg,neutral,6,G01_M04_neutral_084.jpg
G01_M04_neutral_070_blur5.jpg,neutral,6,G01_M04_neutral_070.jpg
G01_M04_fear_074_blur5.jpg,fear,2,G01_M04_fear_074.jpg
G01_M04_neutral_034_blur5.jpg,neutral,6,G01_M04_neutral_034.jpg
G01_M04_sad_028_blur5.jpg,sad,4,G01_M04_sad_028.jpg
G01_M04_neutral_080_blur5.jpg,neutral,6,G01_M04_neutral_080.jpg
G01_M04_neutral_012_blur5.jpg,neutral,6,G01_M04_neutral_012.jpg
G01_M04_surprise_011_blur5.jpg,surprise,5,G01_M04_surprise_011.jpg
G01_M04_sad_037_blur5.jpg,sad,4,G01_M04_sad_037.jpg
G01_M04_sad_023_blur5.jpg,sad,4,G01_M04_sad_023.jpg
G01_M04_neutral_081_blur5.jpg,neutral,6,G01_M04_neutral_081.jpg
G01_M04_neutral_044_blur5.jpg,neutral,6,G01_M04_neutral_044.jpg
G01_M04_neutral_025_blur5.jpg,neutral,6,G01_M04_neutral_025.jpg
G01_M04_neutral_045_blur5.jpg,neutral,6,G01_M04_neutral_045.jpg
G01_M04_happy_007_blur5.jpg,happy,3,G01_M04_happy_007.jpg
G01_M04_neutral_057_blur5.jpg,neutral,6,G01_M04_neutral_057.jpg
G01_M04_happy_023_blur5.jpg,happy,3,G01_M04_happy_023.jpg
G01_M04_happy_009_blur5.jpg,happy,3,G01_M04_happy_009.jpg
G01_M04_sad_032_blur5.jpg,sad,4,G01_M04_sad_032.jpg
G01_M04_happy_010_blur5.jpg,happy,3,G01_M04_happy_010.jpg
G01_M04_disgust_003_blur5.jpg,disgust,1,G01_M04_disgust_003.jpg
G01_M04_sad_021_blur5.jpg,sad,4,G01_M04_sad_021.jpg
G01_M04_neutral_030_blur5.jpg,neutral,6,G01_M04_neutral_030.jpg
G01_M04_neutral_089_blur5.jpg,neutral,6,G01_M04_neutral_089.jpg
G01_M04_happy_025_blur5.jpg,happy,3,G01_M04_happy_025.jpg
G01_M04_neutral_091_blur5.jpg,neutral,6,G01_M04_neutral_091.jpg
G01_M04_fear_022_blur5.jpg,fear,2,G01_M04_fear_022.jpg
G01_M04_neutral_069_blur5.jpg,neutral,6,G01_M04_neutral_069.jpg
G01_M04_happy_015_blur5.jpg,happy,3,G01_M04_happy_015.jpg
G01_M04_surprise_005_blur5.jpg,surprise,5,G01_M04_surprise_005.jpg
G01_M04_neutral_061_blur5.jpg,neutral,6,G01_M04_neutral_061.jpg
G01_M04_sad_017_blur5.jpg,sad,4,G01_M04_sad_017.jpg
G01_M04_sad_010_blur5.jpg,sad,4,G01_M04_sad_010.jpg
G01_M04_neutral_046_blur5.jpg,neutral,6,G01_M04_neutral_046.jpg
G01_M04_sad_027_blur5.jpg,sad,4,G01_M04_sad_027.jpg
G01_M04_neutral_058_blur5.jpg,neutral,6,G01_M04_neutral_058.jpg
G01_M04_surprise_015_blur5.jpg,surprise,5,G01_M04_surprise_015.jpg
G01_M04_neutral_049_blur5.jpg,neutral,6,G01_M04_neutral_049.jpg
G01_M04_fear_024_blur5.jpg,fear,2,G01_M04_fear_024.jpg
G01_M04_fear_121_blur5.jpg,fear,2,G01_M04_fear_121.jpg
G01_M04_neutral_087_blur5.jpg,neutral,6,G01_M04_neutral_087.jpg
G01_M04_sad_001_blur5.jpg,sad,4,G01_M04_sad_001.jpg
G01_M04_neutral_066_blur5.jpg,neutral,6,G01_M04_neutral_066.jpg
G01_M04_neutral_086_blur5.jpg,neutral,6,G01_M04_neutral_086.jpg
G01_M04_surprise_016_blur5.jpg,surprise,5,G01_M04_surprise_016.jpg
G01_M04_happy_011_blur5.jpg,happy,3,G01_M04_happy_011.jpg
G01_M04_surprise_003_blur5.jpg,surprise,5,G01_M04_surprise_003.jpg
G01_M04_sad_012_blur5.jpg,sad,4,G01_M04_sad_012.jpg
