filename,label,label_idx,original_filename
G07_M10_sad_003_align_gray_heq.jpg,sad,4,G07_M10_sad_003.jpg
G07_M10_neutral_017_align_gray_heq.jpg,neutral,6,G07_M10_neutral_017.jpg
G07_M10_neutral_012_align_gray_heq.jpg,neutral,6,G07_M10_neutral_012.jpg
G07_M14_happy_005_align_gray_heq.jpg,happy,3,G07_M14_happy_005.jpg
G07_M10_neutral_027_align_gray_heq.jpg,neutral,6,G07_M10_neutral_027.jpg
G07_M10_sad_001_align_gray_heq.jpg,sad,4,G07_M10_sad_001.jpg
G07_M14_happy_022_align_gray_heq.jpg,happy,3,G07_M14_happy_022.jpg
G07_M10_disgust_001_align_gray_heq.jpg,disgust,1,G07_M10_disgust_001.jpg
G07_M10_neutral_003_align_gray_heq.jpg,neutral,6,G07_M10_neutral_003.jpg
G07_M14_sad_003_align_gray_heq.jpg,sad,4,G07_M14_sad_003.jpg
G07_M10_neutral_037_align_gray_heq.jpg,neutral,6,G07_M10_neutral_037.jpg
G07_M14_happy_001_align_gray_heq.jpg,happy,3,G07_M14_happy_001.jpg
G07_M14_happy_020_align_gray_heq.jpg,happy,3,G07_M14_happy_020.jpg
G07_M14_neutral_003_align_gray_heq.jpg,neutral,6,G07_M14_neutral_003.jpg
G07_M10_neutral_025_align_gray_heq.jpg,neutral,6,G07_M10_neutral_025.jpg
G07_M10_neutral_016_align_gray_heq.jpg,neutral,6,G07_M10_neutral_016.jpg
G07_M10_neutral_008_align_gray_heq.jpg,neutral,6,G07_M10_neutral_008.jpg
G07_M10_neutral_023_align_gray_heq.jpg,neutral,6,G07_M10_neutral_023.jpg
G07_M10_surprise_007_align_gray_heq.jpg,surprise,5,G07_M10_surprise_007.jpg
G07_M14_happy_023_align_gray_heq.jpg,happy,3,G07_M14_happy_023.jpg
G07_M10_neutral_002_align_gray_heq.jpg,neutral,6,G07_M10_neutral_002.jpg
G07_M10_neutral_013_align_gray_heq.jpg,neutral,6,G07_M10_neutral_013.jpg
G07_M10_neutral_029_align_gray_heq.jpg,neutral,6,G07_M10_neutral_029.jpg
G07_M14_happy_015_align_gray_heq.jpg,happy,3,G07_M14_happy_015.jpg
G07_M10_disgust_005_align_gray_heq.jpg,disgust,1,G07_M10_disgust_005.jpg
G07_M10_neutral_035_align_gray_heq.jpg,neutral,6,G07_M10_neutral_035.jpg
G07_M14_surprise_008_align_gray_heq.jpg,surprise,5,G07_M14_surprise_008.jpg
G07_M10_disgust_004_align_gray_heq.jpg,disgust,1,G07_M10_disgust_004.jpg
G07_M10_surprise_008_align_gray_heq.jpg,surprise,5,G07_M10_surprise_008.jpg
G07_M10_surprise_005_align_gray_heq.jpg,surprise,5,G07_M10_surprise_005.jpg
G07_M10_sad_004_align_gray_heq.jpg,sad,4,G07_M10_sad_004.jpg
G07_M14_happy_014_align_gray_heq.jpg,happy,3,G07_M14_happy_014.jpg
G07_M10_neutral_005_align_gray_heq.jpg,neutral,6,G07_M10_neutral_005.jpg
